node_ID,Host_Sci_Name,type,host_tol
246,Mycedium sp.,0,0.894
247,Mycetophyllia aliciae,0,0.890
248,Mycetophyllia daniana,0,0.890
249,Mycetophyllia ferox,0,0.890
250,Mycetophyllia lamarckiana,0,0.890
251,Mycetophyllia reesi,0,0.973
252,Mycetophyllia sp.,0,0.907
253,Oulastrea sp.,0,0.990
254,Oulophyllia crispa,0,0.776
255,Oxypora acera,0,0.953
256,Oxypora glabra,0,0.953
257,Oxypora lacera,0,0.931
258,Oxypora sp.,0,0.953
259,Pachyseris rugosa,0,0.783
260,Pachyseris sp.,0,0.668
261,Pachyseris speciosa,0,0.607
262,Palauastrea ramosa,0,0.945
263,Pavona clavus,0,0.685
264,Pavona decussata,0,0.946
265,Pavona duerdeni,0,0.524
266,Pavona explanulata,0,0.966
267,Pavona gigantea,0,0.631
268,Pavona maldivensis,0,0.961
269,Pavona minuta,0,0.368
270,Pavona varians,0,0.762
271,Pavona venosa,0,0.860
272,Pectinia africanus,0,0.569
273,Pectinia alcicornis,0,0.963
274,Pectinia lactuca,0,0.312
275,Pectinia paeonia,0,0.548
276,Physogyra lichtensteini,0,0.285
277,Platygyra contorta,0,0.488
278,Platygyra daedalea,0,0.546
279,Platygyra deformis,0,0.581
280,Platygyra lamellina,0,0.604
281,Platygyra limax,0,0.620
282,Platygyra pini,0,0.617
283,Platygyra ryukyuensis,0,0.857
284,Platygyra sinensis,0,0.600
285,Platygyra sp.,0,0.644
286,Platygyra verweyi,0,0.651
287,Plerogyra sinuosa,0,0.285
288,Plesiastrea versipora,0,0.990
289,Pocillopora capitata,0,0.649
290,Pocillopora damicornis,0,0.577
291,Pocillopora eleganms,0,0.690
292,Pocillopora eydouxi,0,0.782
293,Pocillopora ligulata,0,0.617
294,Pocillopora meandrina,0,0.672
295,Pocillopora molokensis,0,0.463
296,Pocillopora sp.,0,0.646
297,Pocillopora verrucosa,0,0.742
298,Podabacia crustacea,0,0.946
299,Polyphyllia talpina,0,0.835
300,Porites annae,0,0.944
301,Porites astreoides,0,0.840
302,Porites brighami,0,0.825
303,Porites colonensis,0,0.973
304,Porites compressa,0,0.663
305,Porites cylindrica,0,0.711
306,Porites divaricata,0,0.973
307,Porites furcata,0,0.698
308,Porites lichen,0,0.842
309,Porites lobata,0,0.642
310,Porites lutea,0,0.754
311,Porites lutea/evermanni,0,0.945
312,Porites massive,0,0.727
313,Porites mayeri,0,0.883
314,Porites nigrescens,0,0.587
315,Porites panamensis,0,0.724
316,Porites porites,0,0.802
317,Porites profundus,0,0.744
318,Porites rus,0,0.927
319,Porites silimaniana,0,0.643
320,Porites sp.,0,0.695
321,Porites stephensoni,0,0.990
322,Porites vaughani,0,0.760
323,Psammocora brighami,0,0.509
324,Psammocora cartigua,0,0.716
325,Psammocora contigua,0,0.716
326,Psammocora digitata,0,0.586
327,Psammocora haimeana,0,0.572
328,Psammocora profundacella,0,0.567
329,Psammocora sp.,0,0.620
330,Psammocora stellata,0,0.881
331,Psammocora superficialis,0,0.945
332,Sandalolitha robusta,0,0.997
333,Scolymia australis,0,0.313
334,Scolymia sp.,0,0.313
335,Seriatopora caliendrum,0,0.342
336,Seriatopora hystrix,0,0.385
337,Seriatopora sp.,0,0.485
338,Siderastrea radians,0,0.769
339,Siderastrea siderea,0,0.810
340,Siderastrea sp.,0,0.815
341,Stephanocoenia intersepta,0,0.812
342,Stephanocoenia sp.,0,0.769
343,Stylocoeniella amrata,0,0.285
344,Stylophora pistillata,0,0.436
345,Stylophora sp.,0,0.563
346,Symphyllia agaricia,0,0.899
347,Symphyllia radians,0,0.877
348,Symphyllia recta,0,0.884
349,Symphyllia sp.,0,0.949
350,Symphyllia wilsoni,0,0.955
351,Turbinaria frondens,0,0.571
352,Turbinaria heronensis,0,0.716
353,Turbinaria mesenterina,0,0.791
354,Turbinaria peltata,0,0.285
355,Turbinaria reniformis,0,0.705
356,Turbinaria stellulata,0,0.750
